dailyVolumeToken0,dailyVolumeToken1,dailyVolumeUSD,date,reserveUSD,totalSupply,token0.name,token0.totalLiquidity,token1.name,token1.totalLiquidity,priceUSD
58235365.265759,77035.572758292697549043,58137032.36927949424111951396393759,2021-01-02 00:00:00,148311819.8622367367304415187138704,2.024080670822815309,USD//C,293699483.813838,Wrapped Ether,746214.985446349950579597,775.3145470709969168650930675429555
125317798.187851,139527.542151090644739636,125107697.8463614869263968486959724,2021-01-03 00:00:00,163442168.1009048366047623559595084,1.984043389110131832,USD//C,293699483.813838,Wrapped Ether,746214.985446349950579597,975.9260163513460450868486890759849
186225206.745034,184014.011155257276492008,186084478.4448002286550242601263099,2021-01-04 00:00:00,202788624.7607029525467395061435112,2.37632346484828854,USD//C,293699483.813838,Wrapped Ether,746214.985446349950579597,1040.41733250879698135198395032191
129371690.320298,121773.569066850888009087,129035718.1892910254172780044681419,2021-01-05 00:00:00,213668169.8331699983924444583139773,2.429922315429866808,USD//C,293699483.813838,Wrapped Ether,746214.985446349950579597,1101.743835588448240357620915989441
120111327.33197,104766.202785393903720608,119962416.0226970291963242032503678,2021-01-06 00:00:00,226123006.7767164083350653804199418,2.445916328632360439,USD//C,293699483.813838,Wrapped Ether,746214.985446349950579597,1210.474342328727274877178154724958
114156068.162092,93595.346393637692771793,114075472.7933077595719362375153851,2021-01-07 00:00:00,233026913.7596712425024992750841783,2.505063228459695851,USD//C,293699483.813838,Wrapped Ether,746214.985446349950579597,1221.68432271028633339676045540273
146893609.510853,123575.017578033988211643,146858207.6323070675001731100826104,2021-01-08 00:00:00,233282485.8907539310285353502107217,2.50680420199010051,USD//C,293699483.813838,Wrapped Ether,746214.985446349950579597,1218.588417951225949368630856339548
80740088.406018,65902.373258610908496705,80683535.90092826500401230105239115,2021-01-09 00:00:00,233661146.0486998095197492317291622,2.445499584531453692,USD//C,293699483.813838,Wrapped Ether,746214.985446349950579597,1283.256884131632510399257519118098
134384794.484494,104637.85930973318202164,134283795.8490228206908630425271957,2021-01-10 00:00:00,231919480.1092697728525800210234426,2.442696910891657086,USD//C,293699483.813838,Wrapped Ether,746214.985446349950579597,1259.743164654006005770786985168967
317769857.744835,302051.78386605960253022,318044882.5658571216803718829171287,2021-01-11 00:00:00,220921870.2455540420107853417225576,2.495056174264171004,USD//C,293699483.813838,Wrapped Ether,746214.985446349950579597,1088.253022137701912587784675677617
129480624.080187,120182.243665135669671689,129498907.9936388712814511237224646,2021-01-12 00:00:00,221881874.5099792777369962910053812,2.549235296118074979,USD//C,293699483.813838,Wrapped Ether,746214.985446349950579597,1046.005815519000331803675961281608
93840536.700175,88501.578471973333249837,93845317.50404544345877079009174967,2021-01-13 00:00:00,234041445.569406022472099669924752,2.588270598198498678,USD//C,293699483.813838,Wrapped Ether,746214.985446349950579597,1128.354543712579578759136910226235
91882292.502099,78125.361718426747127681,91849035.88270276681106086082874594,2021-01-14 00:00:00,246002196.7012968962312240465338552,2.605848544830279391,USD//C,293699483.813838,Wrapped Ether,746214.985446349950579597,1225.864584947348262687801936310545
141212352.236453,120022.061703427814522664,141285206.9975231514931970356313968,2021-01-15 00:00:00,248964345.4213396675616856224703036,2.694326789173924394,USD//C,293699483.813838,Wrapped Ether,746214.985446349950579597,1170.101407864539097508318444459811
102590654.989165,83841.256765759124358011,102578094.1671638590869819449018903,2021-01-16 00:00:00,263952192.3121934200369858941573776,2.781063193805694548,USD//C,293699483.813838,Wrapped Ether,746214.985446349950579597,1232.231464216576582876475422604467
92131074.002289,75490.895325835599082417,92131637.98819486338386540121655257,2021-01-17 00:00:00,264758666.287522293447265076264161,2.789035291564538447,USD//C,293699483.813838,Wrapped Ether,746214.985446349950579597,1229.977898472526947816164399461102
77253124.992734,63085.541037820233783733,77273000.72987771661125950587234008,2021-01-18 00:00:00,269141325.5514755028324591863865637,2.802907490170139232,USD//C,293699483.813838,Wrapped Ether,746214.985446349950579597,1255.893575973334019114421592429052
174792332.203302,127412.200633279889960308,174949006.3981101471105408728326915,2021-01-19 00:00:00,257261767.7895089583573179198688338,2.555297696148129403,USD//C,293699483.813838,Wrapped Ether,746214.985446349950579597,1374.809870379923056124069847339803
137291215.047333,103941.848906623762675364,137344493.7179173620004925599089564,2021-01-20 00:00:00,258550809.2521937649872441421817063,2.561546286689026009,USD//C,293699483.813838,Wrapped Ether,746214.985446349950579597,1378.749089474629604817017920612641
197377311.970558,162089.541401582473170672,197506598.965167111730864195922252,2021-01-21 00:00:00,226176965.1070046787260382458766587,2.483250836010616778,USD//C,293699483.813838,Wrapped Ether,746214.985446349950579597,1115.421753089764567656584562254647
178035052.661292,153246.933383671612726138,177867850.6742918094880442233649741,2021-01-22 00:00:00,269400288.3216178799207706681193828,2.807196087822472335,USD//C,293699483.813838,Wrapped Ether,746214.985446349950579597,1235.143596377582147949206251312714
116228123.917386,93675.725568421796233292,116230970.5550631460899797219482509,2021-01-23 00:00:00,283890664.5651469538160489571150311,2.960226629429092689,USD//C,293699483.813838,Wrapped Ether,746214.985446349950579597,1229.559266001848954403111133412516
99055263.892239,74779.430468815327394546,98949417.14368228633341668453391518,2021-01-24 00:00:00,304600567.8597445812400424159501352,2.978903349173715988,USD//C,293699483.813838,Wrapped Ether,746214.985446349950579597,1394.646310416331029700766298159022
148647590.874438,106482.71956185145312036,148658365.8483879134191834852120952,2021-01-25 00:00:00,296532019.4731180553170723020658897,2.97455417139896538,USD//C,293699483.813838,Wrapped Ether,746214.985446349950579597,1320.482331230494460507455385182386
